road_name,edge_id,length_meters,avg_deviation,max_deviation
Durham Road_2,285922945->285923025,113.90483900674762,0,0
Hobart Road_4,285922527->4414732069,112.65616601806146,0,0
Hobart Road_10,285923206->337344529,112.11650938487783,0,0
Glebe Road_1,174779068->1436939673,112.06371778629872,0,0
Victoria Street_6,285732079->2474738239,111.62902661736655,0,0
Victoria Street_4,285732076->285732077,111.54216078602622,0,0
Victoria Street_2,272225716->285732077,111.45175844352569,0,0
Victoria Street_8,285732084->1848248256,111.37334110119626,0,0
Glebe Road_9,285732085->285732088,111.26318104501871,0,0
Northcott Drive_8,1453639332->2659023478,111.1526589993051,0,0
Glebe Road_3,272223869->272225486,111.11059383737874,0,0
Glebe Road_4,272223869->1839861628,111.08593088123294,0,0
Evans Road_1,286119551->286119840,110.90247327998739,0,0
Victoria Street_7,285732079->1848248256,110.7324826476273,0,0
Baker Street_2,445402383->1843667396,110.71548276137565,0,0
Glebe Road_2,174779068->272224405,109.73264812050522,0,0
Orchardtown Road_17,2643520648->12446969779,109.68336548701296,0,0
Saint James Road_8,286119052->362011394,109.50521303690597,0,0
Lambton Road_28,1839861571->1956536851,108.62727421084865,0,0
Glebe Road_7,285732082->5494239660,108.51823597843158,0,0
Olney Road_1,272224404->769203760,107.91306288303588,0,0
Wood Street_1,285732058->285732216,107.2040436681711,0,0
Mirral Crescent_1,1843667350->1843667369,106.45722540553837,0,0
Warren Avenue_2,6137125727->6137125728,106.29998543873319,0,0
Wallarah Road_4,285923171->285923172,106.042175036984,0,0
Northcott Drive_1,174778963->1926352191,105.45836403772617,0,0
Teralba Road_1,285732076->2108084122,105.20610562735008,0,0
Morgan Street_1,285732083->285732084,104.96512509945448,0,0
Gosford Road_1,285732087->1848248257,104.80537924408141,0,0
Rifle Street_1,285732115->285907337,104.57398548121589,0,0
Jellicoe Parade_2,1839861589->2063026286,104.48530180887927,0,0
Jellicoe Parade_1,286118961->2063026286,104.43975095819225,0,0
Westcourt Road_6,285923726->5978163993,104.243763942263,0,0
Hall Street_1,390998555->390998746,103.71281799981453,0,0
Gosford Road_3,285732088->1839861619,103.70091520214163,0,0
Errington Avenue_1,286118933->1843667491,102.86602051004942,0,0
Chiplin Street_1,285923542->1843667358,102.84812447435499,0,0
Buxton Street_1,285732078->285732079,102.82545493540243,0,0
Fourth Street_3,285732226->285732228,102.77620308497521,0,0
Sketchley Parade_2,286119396->2063026294,102.51587947895595,0,0
Brunker Road_8,272224405->286119437,101.20254391775406,0,0
Orchardtown Road_6,285923942->8975857810,101.0976606797082,23.69469643764608,28.014931101861045
Taragna Road_1,1843667366->1843667382,101.0395111802258,0,0
Hobart Road_17,367128369->367128370,99.78224243939825,0,0
Railway Road_4,285923579->285923660,98.62962211458147,0,0
Kullaiba Road_16,11548130693->12038672027,97.96115933235481,0,0
Tauranga Road_1,1843667344->1843667366,97.86853316805632,0,0
Errington Avenue_2,1843667461->1843667475,97.36604807565774,0,0
Lambton Road_15,359020704->1839861568,95.73656431666552,0,0
Kullaiba Road_4,903719322->11548130693,95.38028587807048,0,0
"['Bryant Street', 'Mandalong Road']_1",286118983->286119016,95.0863526346975,0,0
Noela Avenue_4,1843667298->1843667298,94.06465539543834,0,0
Brunker Road_5,272224404->286119437,93.87775274730625,0,0
Monash Road_2,285923183->1843667338,93.33383730218344,0,0
Monash Road_5,285923227->1839861547,93.22341975464724,0,0
Aldyth Street_3,1840020278->1840020291,93.07959702439163,0,0
Lambton Road_35,3743489799->3743489802,92.98290750787477,0,0
Saint James Road_1,174778835->1843667476,92.73906986245001,0,0
Longworth Avenue_4,286119541->286119557,92.6517878944522,0,0
Mandalong Road_2,286118983->286119087,91.87918382434388,0,0
Teralba Road_4,286119840->769203723,91.68926845466977,0,0
Wallarah Road_1,285922353->285923102,91.39187845363264,0,0
Lambton Road_21,367126917->1839861577,91.21868427468415,0,0
Lambton Road_2,285922936->739712119,89.22297215019982,0,0
Westcourt Road_4,285923661->285923669,88.46092934309998,0,0
Ball Street_1,1840020259->1840020271,87.99069002737299,0,0
Noela Avenue_1,285923579->1843667320,87.33347569697914,0,0
Park Avenue_31,12038672642->12038672648,87.12464084407043,0,0
