segment_id,osm_id,node_u,node_v,name,road_type,length,has_geometry
"[232951369, 688568558]_285923659_1843667390","[232951369, 688568558]",285923659,1843667390,"['Alma Road', 'Rugby Road']",primary,138.367,True
173577836_285923660_1843667319,173577836,285923660,1843667319,Railway Road,residential,131.139,True
232951376_285923660_285923661,232951376,285923660,285923661,Westcourt Road,residential,150.907,True
232951376_285923661_285923669,232951376,285923661,285923669,Westcourt Road,residential,88.558,True
173577859_285923661_285923663,173577859,285923661,285923663,Gwydir Road,residential,218.72500000000002,True
173577937_285923663_285923664,173577937,285923663,285923664,Wickham Road,residential,71.673,True
173577923_285923664_285923671,173577923,285923664,285923671,Clarence Road,residential,151.557,True
232951376_285923669_5978163993,232951376,285923669,5978163993,Westcourt Road,residential,19.521,True
173577923_285923669_285923671,173577923,285923669,285923671,Clarence Road,residential,129.1,True
173577879_285923671_445402383,173577879,285923671,445402383,Baker Street,residential,116.34400000000001,True
232951376_285923726_5978163993,232951376,285923726,5978163993,Westcourt Road,residential,104.362,True
311182041_285923726_445402383,311182041,285923726,445402383,Collaroy Road,residential,206.87800000000001,True
1221729710_285923781_285923794,1221729710,285923781,285923794,Evescourt Road,residential,86.26,True
212658682_285923781_1843667405,212658682,285923781,1843667405,Russell Road,residential,123.038,True
688596913_285923781_6457621914,688596913,285923781,6457621914,Russell Road,residential,76.913,True
232951370_285923791_285923858,232951370,285923791,285923858,Cromwell Street,residential,135.964,True
235918162_285923791_1843667451,235918162,285923791,1843667451,Saint James Road,residential,167.269,True
235918162_285923791_1843667447,235918162,285923791,1843667447,Saint James Road,residential,81.708,True
1221729710_285923794_1843667424,1221729710,285923794,1843667424,Evescourt Road,residential,77.909,True
308842391_285923794_8738851430,308842391,285923794,8738851430,Victoria Street,residential,314.028,True
308842391_285923794_1843667415,308842391,285923794,1843667415,Victoria Street,residential,122.14699999999999,True
232951370_285923795_285923830,232951370,285923795,285923830,Cromwell Street,residential,102.13900000000001,True
232951370_285923795_1843667407,232951370,285923795,1843667407,Cromwell Street,residential,82.025,True
