Edge_ID,Street_Name,Start_Node,End_Node,Length_m,Total_Appearances,Cycle_1,Cycle_2,Cycle_3,Cycle_4,Cycle_5,Cycle_6,Cycle_7,Cycle_8,Cycle_9,Cycle_10,Cycle_11,Cycle_12,Cycle_13,Cycle_14,Cycle_15,Cycle_16,Cycle_17,Cycle_18,Cycle_19,Cycle_20,Cycle_21,Cycle_22,Cycle_23,Cycle_24,Cycle_25,Cycle_26,Cycle_27,Cycle_28,Cycle_29,Cycle_30
1840020227-1840020232,Orchardtown Road,1840020227,1840020232,82.7,2,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1840020232-1843667530,Dunkley Avenue,1840020232,1843667530,188.8,4,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1843667527-1843667530,Aldyth Street,1843667527,1843667530,37.3,2,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1840020232-1840020240,Orchardtown Road,1840020232,1840020240,30.0,2,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1843667528-1843667530,Dunkley Avenue,1843667528,1843667530,56.5,2,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1843667530-1843667532,Aldyth Street,1843667530,1843667532,57.8,2,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1840020227-1843667514,Aldyth Street / Blamey Avenue,1840020227,1843667514,259.0,2,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1843667514-1843667517,Freyberg Street,1843667514,1843667517,211.3,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1840020259-4364680700,Freeman Street,1840020259,4364680700,72.7,2,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2676461913-7095701987,Unnamed Road,2676461913,7095701987,2.1,11,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,1,0,1,2,0,2,0,2,0,0,0
939119128-7095701989,Unnamed Road,939119128,7095701989,4.3,5,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0
939119128-2676461902,Unnamed Road,939119128,2676461902,23.7,2,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2608920687-2676461902,Bridges Road,2608920687,2676461902,265.6,4,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,1,0,0,0,0,1,0,0,0
1843667509-2608920687,Moonbi Street,1843667509,2608920687,12.5,2,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
939119128-1843667509,Bridges Road,939119128,1843667509,266.3,3,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0
2676461902-8172070487,Unnamed Road,2676461902,8172070487,2.4,4,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,1,0,0,0,0,1,0,0,0
1840020256-8172070487,Northcott Drive,1840020256,8172070487,84.7,4,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0
7095701987-8172070487,Unnamed Road,7095701987,8172070487,24.8,6,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,1,0,0,1,0,2,0,0,0
